GPS,PlusPoint,Avail
"41.164377999999964,-117.606927",85H4597V+Q6,nope
"41.164377999999964,-117.106927",85H45V7V+Q6,85H45V7V+Q6
"41.164377999999964,-116.606927",85H5597V+Q6,85H5597V+Q6
"41.164377999999964,-116.106927",85H55V7V+Q6,85H55V7V+Q6
"41.164377999999964,-115.606927",85H6597V+Q6,nope
"41.164377999999964,-115.106927",85H65V7V+Q6,nope
"41.164377999999964,-114.606927",85H7597V+Q6,85H7597V+Q6
"41.164377999999964,-114.106927",85H75V7V+Q6,nope
"41.164377999999964,-113.606927",85H8597V+Q6,85H8597V+Q6
"41.164377999999964,-113.106927",85H85V7V+Q6,85H85V7V+Q6
"41.164377999999964,-112.606927",85H9597V+Q6,nope
"41.164377999999964,-112.106927",85H95V7V+Q6,nope
"41.164377999999964,-111.606927",85HC597V+Q6,nope
"41.164377999999964,-111.106927",85HC5V7V+Q6,nope
"41.164377999999964,-110.606927",85HF597V+Q6,nope
"41.164377999999964,-110.106927",85HF5V7V+Q6,nope
"41.164377999999964,-109.606927",85HG597V+Q6,85HG597V+Q6
"41.164377999999964,-109.106927",85HG5V7V+Q6,85HG5V7V+Q6
"41.164377999999964,-108.606927",85HH597V+Q6,85HH597V+Q6
"41.49737799999996,-118.106927",85H3FVWV+X6,85H3FVWV+X6
"41.49737799999996,-117.606927",85H4F9WV+X6,nope
"41.49737799999996,-117.106927",85H4FVWV+X6,85H4FVWV+X6
"41.49737799999996,-116.606927",85H5F9WV+X6,85H5F9WV+X6
"41.49737799999996,-116.106927",85H5FVWV+X6,85H5FVWV+X6
"41.49737799999996,-115.606927",85H6F9WV+X6,85H6F9WV+X6
"41.49737799999996,-115.106927",85H6FVWV+X6,nope
"41.49737799999996,-114.606927",85H7F9WV+X6,85H7F9WV+X6
"41.49737799999996,-114.106927",85H7FVWV+X6,85H7FVWV+X6
"41.49737799999996,-113.606927",85H8F9WV+X6,85H8F9WV+X6
"41.49737799999996,-113.106927",85H8FVWV+X6,nope
"41.49737799999996,-112.606927",85H9F9WV+X6,nope
"41.49737799999996,-112.106927",85H9FVWV+X6,nope
"41.49737799999996,-111.606927",85HCF9WV+X6,nope
"41.49737799999996,-111.106927",85HCFVWV+X6,nope
"41.49737799999996,-110.606927",85HFF9WV+X6,nope
"41.49737799999996,-110.106927",85HFFVWV+X6,nope
"41.49737799999996,-109.606927",85HGF9WV+X6,nope
"41.49737799999996,-109.106927",85HGFVWV+X6,85HGFVWV+X6
"41.49737799999996,-108.606927",85HHF9WV+X6,85HHF9WV+X6
"41.83037799999996,-118.106927",85H3RVJV+56,nope
"41.83037799999996,-117.606927",85H4R9JV+56,85H4R9JV+56
"41.83037799999996,-117.106927",85H4RVJV+56,85H4RVJV+56
"41.83037799999996,-116.606927",85H5R9JV+56,85H5R9JV+56
"41.83037799999996,-116.106927",85H5RVJV+56,nope
"41.83037799999996,-115.606927",85H6R9JV+56,85H6R9JV+56
"41.83037799999996,-115.106927",85H6RVJV+56,85H6RVJV+56
"41.83037799999996,-114.606927",85H7R9JV+56,nope
